"schoolid" "id" "name" "type" "black09" "size09" "lep09" "lowinc09" "rwarnp" "rbelowp" "rmeetp" "rexceedp" "mwarnp" "mbelowp" "mmeetp" "mexceedp" "school" "state" "charter" "magnet" "latitude" "longitude" "schoolid2" "agencyid" "congress" "grade4" "county"
"63" "0209101702002" "020910170222002" "Cobden Elem School               " "02" 0.3 272 13.1 61.7 3 30.3 42.4 24.2 0 12.1 69.7 18.2 "COBDEN ELEM SCHOOL" "Illinois" "2-No" "2-No" 37.537178 -89.255936 "*0209101702002" "02-091-0170-22" 1712 "1-Yes" "UNION COUNTY"
"64" "0209103701001" "020910370041001" "Anna Junior High School          " "01" 0 233 2.6 53.3 NA NA NA NA NA NA NA NA "ANNA JUNIOR HIGH SCHOOL" "Illinois" "2-No" "2-No" 37.461291 -89.252586 "*0209103701001" "02-091-0370-04" 1712 "2-No" "UNION COUNTY"
"65" "0209103702002" "020910370042002" "Davie Elem School                " "02" 0.7 111 1.3 57.7 3 33.3 39.4 24.2 0 17.9 65.7 16.4 "DAVIE ELEM SCHOOL" "Illinois" "2-No" "2-No" 37.461066 -89.252097 "*0209103702002" "02-091-0370-04" 1712 "1-Yes" "UNION COUNTY"
"66" "0209103702003" "020910370042003" "Lincoln Elem School              " "02" 0.4 202 0 51.9 NA NA NA NA NA NA NA NA "LINCOLN ELEM SCHOOL" "Illinois" "2-No" "2-No" 37.46399 -89.248126 "*0209103702003" "02-091-0370-04" 1712 "2-No" "UNION COUNTY"
"67" "0209104302001" "020910430042001" "Jonesboro Elem School            " "02" 0.7 494 0 52.5 0 31.1 48.9 20 0 22.2 57.8 20 "JONESBORO ELEM SCHOOL" "Illinois" "2-No" "2-No" 37.450411 -89.275071 "*0209104302001" "02-091-0430-04" 1712 "1-Yes" "UNION COUNTY"
"68" "0209106600001" "020910660220001" "Dongola High School              " "00" 0 56 0 53.8 NA NA NA NA NA NA NA NA "DONGOLA HIGH SCHOOL" "Illinois" "2-No" "2-No" 37.366638 -89.162205 "*0209106600001" "02-091-0660-22" 1712 "2-No" "UNION COUNTY"
"69" "0209106601001" "020910660221001" "Dongola Jr High School           " "01" 0 9 0 45.7 NA NA NA NA NA NA NA NA "DONGOLA JR HIGH SCHOOL" "Illinois" "2-No" "2-No" 37.366671 -89.161748 "*0209106601001" "02-091-0660-22" 1712 "2-No" "UNION COUNTY"
"70" "0209106602001" "020910660222001" "Dongola Elementary School        " "02" 0 156 0 55.8 8.7 30.4 47.8 13 4.3 13 69.6 13 "DONGOLA ELEMENTARY SCHOOL" "Illinois" "2-No" "2-No" 37.366908 -89.161823 "*0209106602001" "02-091-0660-22" 1712 "1-Yes" "UNION COUNTY"
"71" "0209108100001" "020910810160001" "Anna-Jonesboro High School       " "00" 0.2 505 0.9 35.8 NA NA NA NA NA NA NA NA "ANNA-JONESBORO HIGH SCHOOL" "Illinois" "2-No" "2-No" 37.455475 -89.254858 "*0209108100001" "02-091-0810-16" 1712 "2-No" "UNION COUNTY"
"72" "0209108400001" "020910840260001" "Shawnee High School              " "00" 0 109 0 49 NA NA NA NA NA NA NA NA "SHAWNEE HIGH SCHOOL" "Illinois" "2-No" "2-No" 37.494294 -89.42841 "*0209108400001" "02-091-0840-26" 1712 "2-No" "UNION COUNTY"
"73" "0209108401002" "020910840261002" "Shawnee Jr High School           " "01" 1 62 0 60 NA NA NA NA NA NA NA NA "SHAWNEE JR HIGH SCHOOL" "Illinois" "2-No" "2-No" 37.494294 -89.42841 "*0209108401002" "02-091-0840-26" 1712 "2-No" "UNION COUNTY"
"74" "0209108402004" "020910840262004" "Shawnee Elem School - North      " "02" 0 80 0 72 0 28.6 66.7 4.8 0 23.8 71.4 4.8 "SHAWNEE ELEM SCHOOL - NORTH" "Illinois" "2-No" "2-No" 37.629769 -89.500771 "*0209108402004" "02-091-0840-26" 1712 "1-Yes" "JACKSON COUNTY"
"75" "0209108402005" "020910840262005" "Shawnee Elem School - South      " "02" 0.8 84 0 68 0 40 55 5 0 5 60 35 "SHAWNEE ELEM SCHOOL - SOUTH" "Illinois" "2-No" "2-No" 37.317071 -89.436999 "*0209108402005" "02-091-0840-26" 1712 "1-Yes" "ALEXANDER COUNTY"
"76" "0300300100001" "030030010260001" "Mulberry Grove Sr High School    " "00" 5.6 87 0 32 NA NA NA NA NA NA NA NA "MULBERRY GROVE SR HIGH SCHOOL" "Illinois" "2-No" "2-No" 38.924365 -89.277215 "*0300300100001" "03-003-0010-26" 1713 "2-No" "BOND COUNTY"
"77" "0300300101001" "030030010261001" "Mulberry Grove Jr High School    " "01" 3 30 0 32.8 NA NA NA NA NA NA NA NA "MULBERRY GROVE JR HIGH SCHOOL" "Illinois" "2-No" "2-No" 38.924051 -89.277814 "*0300300101001" "03-003-0010-26" 1713 "2-No" "BOND COUNTY"
"78" "0300300102001" "030030010262001" "Mulberry Grove Elem School       " "02" 7.4 231 0 44.1 0 31.8 54.5 13.6 0 13.6 63.6 22.7 "MULBERRY GROVE ELEM SCHOOL" "Illinois" "2-No" "2-No" 38.92409 -89.278604 "*0300300102001" "03-003-0010-26" 1713 "1-Yes" "BOND COUNTY"
"79" "0300300200001" "030030020260001" "Bond Cty Comm Unit 2 High School " "00" 4.6 526 0 25.9 NA NA NA NA NA NA NA NA "BOND CTY COMM UNIT 2 HIGH SCHOOL" "Illinois" "2-No" "2-No" 38.90115 -89.399253 "*0300300200001" "03-003-0020-26" 1715 "2-No" "BOND COUNTY"
