name,state,charter,magnet,latitude,longitude,idnumeric,schoolid,agencyid,code,grade4,county
ANDERSEN  H C ELEM COMMUNITY ACAD,Illinois,2-No,2-No,41.807665,-87.673367,1501629902056,*1501629902056,15-016-2990-25,1703,1-Yes,COOK COUNTY
ANDERSON ELEM SCHOOL,Illinois,2-No,2-No,41.962383,-88.303196,3104530302001,*3104530302001,31-045-3030-26,1706,1-Yes,KANE COUNTY
ANDREW COOKE MAGNET ELEM SCHOOL,Illinois,2-No,1-Yes,42.355032,-87.836914,3404906002006,*3404906002006,34-049-0600-26,1710,1-Yes,LAKE COUNTY
ANN REID EARLY CHILDHOOD CENTER,Illinois,2-No,2-No,41.759325,-88.113124,1902220303001,*1902220303001,19-022-2030-26,1706,2-No,DUPAGE COUNTY
ANNA JUNIOR HIGH SCHOOL,Illinois,2-No,2-No,37.461291,-89.252586,0209103701001,*0209103701001,02-091-0370-04,1712,2-No,UNION COUNTY
ANNA MCDONALD ELEM SCHOOL,Illinois,2-No,2-No,41.419206,-87.983043,5609911402001,*5609911402001,56-099-1140-02,1701,1-Yes,WILL COUNTY
ANNA-JONESBORO HIGH SCHOOL,Illinois,2-No,2-No,37.455475,-89.254858,0209108100001,*0209108100001,02-091-0810-16,1712,2-No,UNION COUNTY
ANNAWAN GRADE SCHOOL,Illinois,2-No,2-No,41.393561,-89.912119,2803722602002,*2803722602002,28-037-2260-26,1717,1-Yes,HENRY COUNTY
ANNAWAN HIGH SCHOOL,Illinois,2-No,2-No,41.393561,-89.912119,2803722600001,*2803722600001,28-037-2260-26,1717,2-No,HENRY COUNTY
ANNE FOX ELEM SCHOOL,Illinois,2-No,2-No,42.009211,-88.133884,0501605402011,*0501605402011,05-016-0540-04,1708,1-Yes,COOK COUNTY
ANNE M JEANS ELEM SCHOOL,Illinois,2-No,2-No,41.722391,-87.949172,1902218002002,*1902218002002,19-022-1800-04,1711,1-Yes,DUPAGE COUNTY
