"schoolid" "id" "name" "type" "black11" "size11" "lep11" "lowinc11" "rwarn" "rbelow" "rmeet" "rexceed" "mwarn" "mbelow" "mmeet" "mexceed" "school" "state" "charter" "magnet" "latitude" "longitude" "schoolid2" "agencyid" "congress" "grade4" "county"
"66" "0209104302001" "020910430042001" "Jonesboro Elem School            " "02" 0.3 332 0.3 48.7 0 19 47.6 33.3 0 7.1 71.4 21.4 "JONESBORO ELEM SCHOOL" "Illinois" "2-No" "2-No" 37.450411 -89.275071 "*0209104302001" "02-091-0430-04" 1712 "1-Yes" "UNION COUNTY"
"67" "0209106600001" "020910660220001" "Dongola High School              " "00" 0 41 0 52.6 NA NA NA NA NA NA NA NA "DONGOLA HIGH SCHOOL" "Illinois" "2-No" "2-No" 37.366638 -89.162205 "*0209106600001" "02-091-0660-22" 1712 "2-No" "UNION COUNTY"
"68" "0209106601001" "020910660221001" "Dongola Jr High School           " "01" 0 13 0 51.2 NA NA NA NA NA NA NA NA "DONGOLA JR HIGH SCHOOL" "Illinois" "2-No" "2-No" 37.366671 -89.161748 "*0209106601001" "02-091-0660-22" 1712 "2-No" "UNION COUNTY"
"69" "0209106602001" "020910660222001" "Dongola Elementary School        " "02" 0 112 0 49 NA NA NA NA NA NA NA NA "DONGOLA ELEMENTARY SCHOOL" "Illinois" "2-No" "2-No" 37.366908 -89.161823 "*0209106602001" "02-091-0660-22" 1712 "1-Yes" "UNION COUNTY"
"70" "0209108100001" "020910810160001" "Anna-Jonesboro High School       " "00" 0 501 0.2 38.5 NA NA NA NA NA NA NA NA "ANNA-JONESBORO HIGH SCHOOL" "Illinois" "2-No" "2-No" 37.455475 -89.254858 "*0209108100001" "02-091-0810-16" 1712 "2-No" "UNION COUNTY"
"71" "0209108400001" "020910840260001" "Shawnee High School              " "00" 0.7 100 0 51.1 NA NA NA NA NA NA NA NA "SHAWNEE HIGH SCHOOL" "Illinois" "2-No" "2-No" 37.494294 -89.42841 "*0209108400001" "02-091-0840-26" 1712 "2-No" "UNION COUNTY"
"72" "0209108401002" "020910840261002" "Shawnee Jr High School           " "01" 1 63 0 64 NA NA NA NA NA NA NA NA "SHAWNEE JR HIGH SCHOOL" "Illinois" "2-No" "2-No" 37.494294 -89.42841 "*0209108401002" "02-091-0840-26" 1712 "2-No" "UNION COUNTY"
"73" "0209108402004" "020910840262004" "Shawnee Elem School - North      " "02" 0 53 0 70 0 23.1 61.5 15.4 0 7.7 69.2 23.1 "SHAWNEE ELEM SCHOOL - NORTH" "Illinois" "2-No" "2-No" 37.629769 -89.500771 "*0209108402004" "02-091-0840-26" 1712 "1-Yes" "JACKSON COUNTY"
"74" "0209108402005" "020910840262005" "Shawnee Elem School - South      " "02" 0 44 0 84 8.3 33.3 41.7 16.7 0 16.7 41.7 41.7 "SHAWNEE ELEM SCHOOL - SOUTH" "Illinois" "2-No" "2-No" 37.317071 -89.436999 "*0209108402005" "02-091-0840-26" 1712 "1-Yes" "ALEXANDER COUNTY"
"75" "0300300100001" "030030010260001" "Mulberry Grove Sr High School    " "00" 0.8 92 0 39.7 NA NA NA NA NA NA NA NA "MULBERRY GROVE SR HIGH SCHOOL" "Illinois" "2-No" "2-No" 38.924365 -89.277215 "*0300300100001" "03-003-0010-26" 1713 "2-No" "BOND COUNTY"
